reclass,SITE,NAME_SITE,STATE,NAME_STATE,SiteCode7,StateCode7,FNAI_Specific,FNAI_STATE,NOTE
5,1800,Cultural - Terrestrial,1800,Cultural - Terrestrial,1800000,,Ruderal,Ruderal,
4,1810,Mowed Grass,1800,Cultural - Terrestrial,1810000,,Developed,Ruderal,
4,1811,Vegetative Berm,1800,Cultural - Terrestrial,1811000,1821000,Developed,Ruderal,
4,1812,Highway Rights of Way,1800,Cultural - Terrestrial,1812000,,Developed,Ruderal,
4,1821,Low Intensity Urban,1821,Low Intensity Urban,1821000,1821000,Developed,Ruderal,
5,18211,Urban Open Land,1821,Low Intensity Urban,1821100,1821000,Ruderal,Ruderal,
5,182111,Urban Open Forested,1821,Low Intensity Urban,1821110,1821000,Ruderal,Ruderal,
5,182112,Urban Open Pine,1821,Low Intensity Urban,1821120,1821000,Ruderal,Ruderal,
4,18212,"Residential, Low Density",1821,Low Intensity Urban,1821200,1821000,Developed,Ruderal,
4,18213,Grass,1821,Low Intensity Urban,1821300,,Developed,Ruderal,
6,182131,Parks and Zoos,1821,Low Intensity Urban,1821310,1821000,Developed,Ruderal,
6,182132,Golf courses,1821,Low Intensity Urban,1821320,1821000,Developed,Ruderal,
6,182133,Ballfields,1821,Low Intensity Urban,1821330,,Developed,Ruderal,
6,182134,Cemeteries,1821,Low Intensity Urban,1821340,,Developed,Ruderal,
6,182135,Community rec. facilities,1821,Low Intensity Urban,1821350,1821000,Developed,Ruderal,
5,18214,Trees,1821,Low Intensity Urban,1821400,,Ruderal,Ruderal,
4,1822,High Intensity Urban,1822,High Intensity Urban,1822000,1822000,Developed,Ruderal,
4,18221,"Residential, Med. Density - 2-5 Dwelling Units/AC",1822,High Intensity Urban,1822100,1822000,Developed,Ruderal,
4,18222,"Residential, High Density > 5 Dwelling Units/AC",1822,High Intensity Urban,1822200,1822000,Developed,Ruderal,
4,18223,Commercial and Services,1822,High Intensity Urban,1822300,1822000,Developed,Ruderal,
4,18224,Industrial,1822,High Intensity Urban,1822400,1822000,Developed,Ruderal,
4,18225,Institutional,1822,High Intensity Urban,1822500,1822000,Developed,Ruderal,
5,1830,Rural,1830,Rural,1830000,1830000,Ruderal,Ruderal,
5,1831,Rural Open,1830,Rural,1831000,1830000,Ruderal,Ruderal,
5,18311,Rural Open Forested,1830,Rural,1831100,1830000,Ruderal,Ruderal,
5,183111,Oak - Cabbage Palm Forests,1830,Rural,1831110,1830000,Ruderal,Ruderal,
5,18312,Rural Open Pine,1830,Rural,1831200,1830000,Ruderal,Ruderal,
5,1832,Rural Structures,1830,Rural,1832000,1830000,Ruderal,Ruderal,
7,1833,Agriculture,1830,Rural,1833000,1833000,Agriculture,Ruderal,
7,18331,Cropland/Pasture,18331,Cropland/Pasture,1833100,1833000,Agriculture,Ruderal,
7,183311,Row Crops,18331,Cropland/Pasture,1833110,1833000,Agriculture,Ruderal,
7,183312,Field Crops,18331,Cropland/Pasture,1833120,1833000,Agriculture,Ruderal,
7,1833121,Sugarcane,1833121,Sugarcane,1833121,1833000,Agriculture,Ruderal,
7,183313,Improved Pasture,1821,Low Intensity Urban,1833130,1833000,Improved Pasture,Improved Pasture,
7,183314,Unimproved/Woodland Pasture,1830,Rural,1833140,1830000,Semi-improved Pasture,Semi-improved Pasture,
7,183315,Other Open Lands - Rural,18331,Cropland/Pasture,1833150,1833000,Agriculture,Ruderal,
7,1833151,Fallow Cropland,18331,Cropland/Pasture,1833151,1833000,Agriculture,Ruderal,
7,18332,Orchards/Groves,18332,Orchards/Groves,1833200,1833000,Agriculture,Ruderal,
7,183321,Citrus,18332,Orchards/Groves,1833210,1833000,Agriculture,Ruderal,
7,183322,Fruit Orchards,18332,Orchards/Groves,1833220,1833000,Agriculture,Ruderal,
7,183323,Pecan,18332,Orchards/Groves,1833230,1833000,Agriculture,Ruderal,
7,183324,Fallow Orchards,18332,Orchards/Groves,1833240,1833000,Agriculture,Ruderal,
7,18333,Tree Plantations,18333,Tree Plantations,1833300,1823000,Pine Plantation,Ruderal,
7,183331,Hardwood Plantations,18333,Tree Plantations,1833310,1823000,Agriculture,Ruderal,
7,183332,Coniferous Plantations,18333,Tree Plantations,1833320,1823000,Pine Plantation,Pine Plantation,
7,18334,Vineyard and Nurseries,18334,Vineyard and Nurseries,1833400,1833000,Agriculture,Ruderal,
7,183341,Tree Nurseries,18334,Vineyard and Nurseries,1833410,1833000,Agriculture,Ruderal,
7,183342,Sod Farms,18334,Vineyard and Nurseries,1833420,1833000,Agriculture,Ruderal,
7,183343,Ornamentals,18334,Vineyard and Nurseries,1833430,1833000,Agriculture,Ruderal,
7,183344,Vineyards,18334,Vineyard and Nurseries,1833440,1833000,Agriculture,Ruderal,
7,183345,Floriculture,18334,Vineyard and Nurseries,1833450,1833000,Agriculture,Ruderal,
7,18335,Other Agriculture,18335,Other Agriculture,1833500,1833000,Agriculture,Ruderal,
7,183351,Feeding Operations,18335,Other Agriculture,1833510,1833000,Agriculture,Ruderal,
7,183352,Specialty Farms,18335,Other Agriculture,1833520,1833000,Agriculture,Ruderal,
8,1840,Transportation,1840,Transportation,1840000,1840000,Developed,Ruderal,
8,1841,Roads,1840,Transportation,1841000,1840000,Road,Ruderal,
8,1842,Rails,1840,Transportation,1842000,1840000,Developed,Ruderal,
8,1850,Communication,1850,Communication,1850000,1850000,Developed,Ruderal,
8,1860,Utilities,1860,Utilities,1860000,1860000,Utility Corridor,Ruderal,
9,1870,Extractive,1870,Extractive,1870000,1870000,Developed,Ruderal,
9,1871,Strip Mines,1870,Extractive,1871000,1870000,Developed,Ruderal,
9,1872,Sand & Gravel Pits,1870,Extractive,1872000,1870000,Borrow Area,Ruderal,
9,1873,Rock Quarries,1870,Extractive,1873000,1870000,Borrow Area,Ruderal,
9,1874,Oil & Gas Fields,1870,Extractive,1874000,1870000,Developed,Ruderal,
9,1875,Reclaimed Lands,1870,Extractive,1875000,1870000,Ruderal,Ruderal,
9,1876,Abandoned Mining Lands,1870,Extractive,1876000,1870000,Ruderal,Ruderal,
9,1877,Spoil Area,1870,Extractive,1877000,1870000,Spoil Area,Ruderal,
7,1880,Bare Soil/Clear Cut,1880,Bare Soil/Clear Cut,1880000,,Clearcut Pine Plantation,Ruderal,
10,2100,Freshwater Non-Forested Wetlands,2100,Freshwater Non-Forested Wetlands,2100000,2100000,Freshwater Non-Forested Wetlands,Freshwater Non-Forested Wetlands,FNAI Rollup
10,2110,Prairies and Bogs,2110,Prairies and Bogs,2110000,,Prairies and Bogs,Prairies and Bogs,FNAI Rollup
10,2111,Wet Prairie,2110,Prairies and Bogs,2111000,2110000,Wet Prairie,Prairies and Bogs,
10,21111,Wiregrass Savanna,2110,Prairies and Bogs,2111100,,Wet Prairie,Prairies and Bogs,
10,21112,Cutthroat Seep,2110,Prairies and Bogs,2111200,2110000,Wet Prairie,Prairies and Bogs,
10,2112,Mixed Scrub-Shrub Wetland,2110,Prairies and Bogs,2112000,2110000,SEE NOTE,SEE NOTE,"Many FNAI types possible:  Basin Swamp, Dome Swamp, Shrub Bog, Baygall, Wet Prairie, Wet Flatwoods, other"
10,21121,Shrub Bog,2110,Prairies and Bogs,2112100,2110000,Shrub Bog,Prairies and Bogs,
10,2113,Marl Prairie,2110,Prairies and Bogs,2113000,2110000,Marl Prairie,Prairies and Bogs,
10,2114,Seepage Slope,2110,Prairies and Bogs,2114000,2110000,Seepage Slope,Prairies and Bogs,
10,2120,Marshes,2120,Marshes,2120000,2120000,Freshwater Marshes,Freshwater Marshes,FNAI Rollup
10,2121,Isolated Freshwater Marsh,2121,Isolated Freshwater Marsh,2121000,2120000,Freshwater Marshes,Freshwater Marshes,FNAI Rollup
10,21211,Depression Marsh,2121,Isolated Freshwater Marsh,2121100,2120000,Depression Marsh,Freshwater Marshes,
10,21212,Basin Marsh,2121,Isolated Freshwater Marsh,2121200,2120000,Basin Marsh,Freshwater Marshes,
10,2122,Coastal Interdunal Swale,2120,Marshes,2122000,2122000,Coastal Interdunal Swale,Freshwater Marshes,
10,2123,Floodplain Marsh,2123,Floodplain Marsh,2123000,2120000,Floodplain Marsh,Floodplain Marsh,
10,21231,Freshwater Tidal Marsh,2123,Floodplain Marsh,2123100,2120000,Floodplain Marsh,Floodplain Marsh,
10,2124,Slough Marsh,2120,Marshes,2124000,2120000,Slough Marsh,Freshwater Marshes,
10,2125,Glades Marsh,2120,Marshes,2125000,2120000,Glades Marsh,Freshwater Marshes,
10,2130,Marshes (Continued),2120,Marshes,2130000,,Freshwater Marshes,Freshwater Marshes,FNAI Rollup
10,2131,Sawgrass,2120,Marshes,2131000,2120000,Freshwater Marshes,Freshwater Marshes,FNAI Rollup
10,2140,Floating/Emergent Aquatic Vegetation,2100,Freshwater Non-Forested Wetlands,2140000,2100000,Freshwater Marshes,Freshwater Marshes,FNAI Rollup
10,2141,Slough,2100,Freshwater Non-Forested Wetlands,2141000,2100000,Slough,Freshwater Marshes,
10,2142,Water Lettuce,2100,Freshwater Non-Forested Wetlands,2142000,2100000,Freshwater Marshes,Freshwater Marshes,FNAI Rollup
10,2145,Duck Weed,2100,Freshwater Non-Forested Wetlands,2145000,2100000,Freshwater Marshes,Freshwater Marshes,FNAI Rollup
10,2146,Water Lily,2100,Freshwater Non-Forested Wetlands,2146000,2100000,Freshwater Marshes,Freshwater Marshes,FNAI Rollup
10,2150,Submergent Aquatic Vegetation,2100,Freshwater Non-Forested Wetlands,2150000,2100000,Freshwater Marshes,Freshwater Marshes,FNAI Rollup
11,2200,Freshwater Forested Wetlands,2200,Freshwater Forested Wetlands,2200000,2220000,Freshwater Forested Wetlands,Freshwater Forested Wetlands,FNAI Rollup
11,2210,Cypress/Tupelo(incl Cy/Tu mixed),2210,Cypress/Tupelo(incl Cy/Tu mixed),2210000,2210000,Cypress/Tupelo,Cypress/Tupelo,FNAI Rollup
11,2211,Cypress,2211,Cypress,2211000,2210000,Cypress/Tupelo,Cypress/Tupelo,FNAI Rollup
11,2212,Tupelo,2210,Cypress/Tupelo(incl Cy/Tu mixed),2212000,2210000,Cypress/Tupelo,Cypress/Tupelo,FNAI Rollup
11,2213,Isolated Freshwater Swamp,2213,Isolated Freshwater Swamp,2213000,2210000,Cypress/Tupelo,Cypress/Tupelo,FNAI Rollup
11,22131,Dome Swamp,22131,Dome Swamp,2213100,2210000,Dome Swamp,Cypress/Tupelo,
11,221312,Gum Pond,22131,Dome Swamp,2213120,2210000,Dome Swamp,Cypress/Tupelo,
11,22132,Basin Swamp,22132,Basin Swamp,2213200,2210000,Basin Swamp,Cypress/Tupelo,
11,2214,Strand Swamp,2214,Strand Swamp,2214000,2210000,Strand Swamp,Cypress/Tupelo,
11,2215,Floodplain Swamp,2215,Floodplain Swamp,2215000,2210000,Floodplain Swamp,Cypress/Tupelo,
11,22151,Freshwater Tidal Swamp,2215,Floodplain Swamp,2215100,2210000,Floodplain Swamp,Cypress/Tupelo,
11,2220,Other Coniferous Wetlands,2220,Other Coniferous Wetlands,2220000,2220000,Freshwater Forested Wetlands,Freshwater Forested Wetlands,FNAI Rollup
11,2221,Wet Flatwoods,2221,Wet Flatwoods,2221000,2221000,Wet Flatwoods,Wet Flatwoods,
11,22211,Hydric Pine Flatwoods,2221,Wet Flatwoods,2221100,2221000,Wet Flatwoods,Wet Flatwoods,
11,222111,Cutthroat Grass Flatwoods,2221,Wet Flatwoods,2221110,2221000,Wet Flatwoods,Wet Flatwoods,
11,222112,Cabbage Palm Flatwoods,2221,Wet Flatwoods,2221120,2221000,Wet Flatwoods,Wet Flatwoods,
11,22212,Hydric Pine Savanna,2221,Wet Flatwoods,2221200,2221000,Wet Flatwoods,Wet Flatwoods,
11,2222,Pond Pine,2220,Other Coniferous Wetlands,2222000,2221000,Wet Flatwoods,Wet Flatwoods,
11,2230,Other Hardwood Wetlands,2230,Other Hardwood Wetlands,2230000,2230000,Mixed Hardwood Wetlands,Mixed Hardwood Wetlands,FNAI Rollup
11,2231,Baygall,2231,Baygall,2231000,2230000,Baygall,Mixed Hardwood Wetlands,
11,22311,Bay Swamp,2231,Baygall,2231100,2230000,Baygall,Mixed Hardwood Wetlands,
11,22312,South Florida Bayhead,2231,Baygall,2231200,2230000,Baygall,Mixed Hardwood Wetlands,
11,2232,Hydric Hammock,2232,Hydric Hammock,2232000,2230000,Hydric Hammock,Mixed Hardwood Wetlands,
11,22321,Coastal Hydric Hammock,2232,Hydric Hammock,2232100,2230000,Hydric Hammock,Mixed Hardwood Wetlands,
11,22322,Prairie Hydric Hammock,2232,Hydric Hammock,2232200,2230000,Hydric Hammock,Mixed Hardwood Wetlands,
11,22323,Cabbage Palm Hammock,2232,Hydric Hammock,2232300,2230000,Hydric Hammock,Mixed Hardwood Wetlands,
11,2233,Mixed Wetland Hardwoods,2200,Freshwater Forested Wetlands,2233000,2230000,SEE NOTE,Mixed Hardwood Wetlands,"Many FNAI types possible:  Basin Swamp, Dome Swamp, Baygall, Floodplain Swamp, other  (almost any freshwater forested wetland type)"
11,22331,Bottomland Forest,2200,Freshwater Forested Wetlands,2233100,2230000,Bottomland Forest,Mixed Hardwood Wetlands,
11,22332,Alluvial Forest,2200,Freshwater Forested Wetlands,2233200,2230000,Alluvial Forest,Mixed Hardwood Wetlands,
11,2234,Titi Swamp,2230,Other Hardwood Wetlands,2234000,2230000,Baygall,Mixed Hardwood Wetlands,
11,2240,Other Wetland Forested Mixed,2200,Freshwater Forested Wetlands,2240000,2240000,Freshwater Forested Wetlands,Freshwater Forested Wetlands,FNAI Rollup
11,2241,Cypress/Hardwood Swamps,2200,Freshwater Forested Wetlands,2241000,2240000,Freshwater Forested Wetlands,Freshwater Forested Wetlands,FNAI Rollup
11,2242,Cypress/Pine/Cabbage Palm,2200,Freshwater Forested Wetlands,2242000,2240000,Freshwater Forested Wetlands,Freshwater Forested Wetlands,FNAI Rollup
11,2300,Non-vegetated Wetland,2300,Non-vegetated Wetland,2300000,2300000,SEE NOTE,SEE NOTE,"Many FNAI types possible.  If adjacent to another wetland type it is reasonable to assign it as that type.  In some parts of the state these may be intermittently inundated versions of adjacent wetlands, or shorelines of adjacent wetlands or ponds."
12,2400,Cultural - Palustrine,2400,Cultural - Palustrine,2400000,2400000,Ruderal,Ruderal,
12,2410,Impounded Marsh,2400,Cultural - Palustrine,2410000,2400000,Impoundment,Ruderal,
12,2420,Impounded Swamp,2400,Cultural - Palustrine,2420000,2400000,Impoundment,Ruderal,
12,2430,Grazed Wetlands,2400,Cultural - Palustrine,2430000,2400000,Ruderal,Ruderal,
12,2440,Clearcut Wetland,2400,Cultural - Palustrine,2440000,2400000,Clearing/regeneration,Ruderal,
12,2450,Wet Coniferous Plantations,2400,Cultural - Palustrine,2450000,2450000,Pine Plantation,Pine Plantation,
13,3000,Lacustrine,3000,Lacustrine,3000000,3100000,Natural Lakes & Ponds,Natural Lakes & Ponds,FNAI Rollup
13,3100,Natural Lakes and Ponds,3100,Natural Lakes and Ponds,3100000,3100000,Natural Lakes & Ponds,Natural Lakes & Ponds,FNAI Rollup
13,3110,Limnetic,3100,Natural Lakes and Ponds,3110000,3100000,Natural Lakes & Ponds,Natural Lakes & Ponds,FNAI Rollup
13,3111,Clastic Upland Lake,3100,Natural Lakes and Ponds,3111000,3100000,Clastic Upland Lake,Natural Lakes & Ponds,
13,3112,Coastal Dune Lake,3100,Natural Lakes and Ponds,3112000,3100000,Coastal Dune Lake,Natural Lakes & Ponds,
13,3113,Flatwoods/Prairie/Marsh Lake,3100,Natural Lakes and Ponds,3113000,3100000,Flatwoods/Prairie/Marsh Lake,Natural Lakes & Ponds,
13,3114,River Floodplain Lake/Swamp Lake,3100,Natural Lakes and Ponds,3114000,3100000,River Floodplain Lake/Swamp Lake,Natural Lakes & Ponds,
13,3115,Sinkhole Lake,3100,Natural Lakes and Ponds,3115000,3100000,Sinkhole Lake,Natural Lakes & Ponds,
13,3116,Coastal Rockland Lake,3100,Natural Lakes and Ponds,3116000,3100000,Coastal Rockland Lake,Natural Lakes & Ponds,
13,3117,Sandhill Lake,3100,Natural Lakes and Ponds,3117000,3100000,Sandhill Lake,Natural Lakes & Ponds,
13,3118,Major Springs,3100,Natural Lakes and Ponds,3118000,3100000,Major Springs,Natural Lakes & Ponds,
13,3120,Littoral,3100,Natural Lakes and Ponds,3120000,3100000,Natural Lakes & Ponds,Natural Lakes & Ponds,FNAI Rollup
14,3200,Cultural - Lacustrine,3200,Cultural - Lacustrine,3200000,3200000,Artificial Pond,Ruderal,
14,3210,Artificial/Farm Pond,3200,Cultural - Lacustrine,3210000,3200000,Artificial Pond,Ruderal,
14,3211,Aquacultural Ponds,3200,Cultural - Lacustrine,3211000,3200000,Artificial Pond,Ruderal,
14,3220,Artificial Impoundment/Reservoir,3200,Cultural - Lacustrine,3220000,3200000,Impoundment,Ruderal,
14,3230,Quarry Pond,3200,Cultural - Lacustrine,3230000,3200000,Artificial Pond,Ruderal,
14,3240,Sewage Treatment Pond,3200,Cultural - Lacustrine,3240000,3200000,Artificial Pond,Ruderal,
14,3250,Stormwater Treatment Areas,3200,Cultural - Lacustrine,3250000,3200000,Artificial Pond,Ruderal,
14,3260,Industrial Cooling Pond,3200,Cultural - Lacustrine,3260000,3200000,Artificial Pond,Ruderal,
15,4000,Riverine,4000,Riverine,4000000,4100000,Natural Rivers & Streams,Natural Rivers & Streams,FNAI Rollup 
15,4100,Natural Rivers and Streams,4100,Natural Rivers and Streams,4100000,4100000,Natural Rivers & Streams,Natural Rivers & Streams,FNAI Rollup
15,4110,Alluvial Stream,4100,Natural Rivers and Streams,4110000,4100000,Alluvial Stream,Natural Rivers & Streams,
15,4120,Blackwater Stream,4100,Natural Rivers and Streams,4120000,4100000,Blackwater Stream,Natural Rivers & Streams,
15,4130,Spring-run Stream,4100,Natural Rivers and Streams,4130000,4100000,Spring Run Stream,Natural Rivers & Streams,
15,4140,Seepage Stream,4100,Natural Rivers and Streams,4140000,4100000,Seepage Stream,Natural Rivers & Streams,
15,4160,Tidally-influenced Stream,4100,Natural Rivers and Streams,4160000,4100000,Tidally-influenced Stream,Natural Rivers & Streams,
15,4170,Riverine Sandbar,4100,Natural Rivers and Streams,4170000,4100000,Riverine Sandbar,Natural Rivers & Streams,No direct match in the FNAI system; could be result of natural riverine processes or dredge spoil.  We recommend that users include as part of the adjacent riverine class or retain the Riverine Sandbar designation.
16,4200,Cultural - Riverine,4200,Cultural - Riverine,4200000,4200000,Canal/Ditch,Ruderal,
16,4210,Canal,4200,Cultural - Riverine,4210000,4200000,Canal/Ditch,Ruderal,
16,4220,Ditch/Artificial Intermittent Stream,4200,Cultural - Riverine,4220000,4200000,Canal/Ditch,Ruderal,
17,5000,Estuarine,5000,Estuarine,5000000,5000000,Estuarine,Estuarine,FNAI Rollup
17,5100,Subtidal,5000,Estuarine,5100000,5000000,Estuarine,Estuarine,FNAI Rollup
17,5200,Intertidal,5000,Estuarine,5200000,5000000,Estuarine,Estuarine,FNAI Rollup
17,5210,Exposed Limestone,5000,Estuarine,5210000,5000000,Estuarine,Estuarine,FNAI Rollup
17,52111,Keys Tidal Rock Barren,52111,Keys Tidal Rock Barren,5211100,5211100,Keys Tidal Rock Barren,Keys Tidal Rock Barren,
17,5212,Non-vegetated,5000,Estuarine,5212000,5000000,Estuarine,Estuarine,FNAI Rollup
17,5220,Tidal Flat,5220,Tidal Flat,5220000,5000000,Estuarine,Estuarine,FNAI Rollup
17,5221,Mud,5220,Tidal Flat,5221000,5000000,Estuarine,Estuarine,FNAI Rollup
17,5222,Sand,5220,Tidal Flat,5222000,5000000,Estuarine,Estuarine,FNAI Rollup
17,5230,Oyster Bar,5000,Estuarine,5230000,5000000,Mollusk Reef,Estuarine,
18,5240,Salt Marsh,5240,Salt Marsh,5240000,5240000,Salt Marsh,Salt Marsh,
18,5250,Mangrove Swamp,5250,Mangrove Swamp,5250000,5250000,Mangrove Swamp,Mangrove Swamp,
18,5251,Buttonwood Forest,5250,Mangrove Swamp,5251000,5250000,Mangrove Swamp,Mangrove Swamp,
18,5252,Scrub Mangrove,5252,Scrub Mangrove,5252000,5250000,Mangrove Swamp,Mangrove Swamp,
16,5310,Estuarine Ditch/Channel,5300,Cultural - Estuarine,5310000,5000000,Canal/Ditch,Ruderal,
16,5320,Estuarine Artificial Impoundment,5300,Cultural - Estuarine,5320000,5000000,Impoundment,Ruderal,
19,6000,Marine,6000,Marine,6000000,6000000,Marine,Marine,FNAI Rollup
19,6100,Surf Zone,6000,Marine,6100000,6000000,Marine,Marine,FNAI Rollup
20,7000,Exotic Plants,7000,Exotic Plants,7000000,7000000,Invasive Exotic Monoculture,Invasive Exotic Monoculture,
20,7100,Australian Pine,7000,Exotic Plants,7100000,7000000,Invasive Exotic Monoculture,Invasive Exotic Monoculture,
20,7200,Melaleuca,7000,Exotic Plants,7200000,7000000,Invasive Exotic Monoculture,Invasive Exotic Monoculture,
20,7300,Brazilian Pepper,7000,Exotic Plants,7300000,7000000,Invasive Exotic Monoculture,Invasive Exotic Monoculture,
20,7400,Exotic Wetland Hardwoods,7000,Exotic Plants,7400000,7000000,Invasive Exotic Monoculture,Invasive Exotic Monoculture,
NA,9100,Unconsolidated Substrate,9100,Unconsolidated Substrate,9100000,5000000,Unconsolidated Substrate,Unconsolidated Substrate,
